index;name;etype;from_bus;to_bus;length_km;r_ohm_per_km;x_ohm_per_km;c_nf_per_km ;max_i_ka;parallel;type;in_service
400001;Новотроицк - Ульке-220;line;3103;3020;1;5.0999999046;45.71;1.92386564;10;1;ol;TRUE
400002;ЖИТИКАРА-500 - УЛЬКЕ-500;line;577;9001;1;16.5400009155;149.3999938965;5.7922870785;10;1;ol;TRUE
400003;Орская - Кимперсай;line;3104;3005;1;8.3900003433;36.7200012207;0.7193806119;10;1;ol;TRUE
400004;Орская - Актюбе-220;line;3104;3006;1;16.68;73.02;1.43048514;10;1;ol;TRUE
400005;НОВО-АНГРЕНСКАЯ ТЭС - СЫРДАРЬИНСКАЯ ТЭС;line;2945;2923;1;4.18;38.2;1.55685421;10;1;ol;TRUE
400006;Нура-220 - Металлургическая;line;310;384;1;1.56;6.2;0.12923386;10;1;ol;FALSE
400007;Атбасар - Ирченко (т);line;134;163;1;6.0999999046;27.1000003815;0.5322143427;10;1;ol;TRUE
400008;пс-18 - Семей-220;line;218;981;1;0.5;5.18;0.1336902;10;1;ol;FALSE
400009;кгпп - Красноармейская;line;135;159;1;5.8000001907;25.8999996185;0.5077044713;10;1;ol;FALSE
400010;Макинск - Степная;line;150;151;1;14;55.5999984741;1.1586484217;10;1;ol;FALSE
400011;гпп-1 - гпп-2;line;5958;5957;1;3.1199998856;12.1700000763;0.2565578681;10;1;ol;TRUE
400012;КОСТАНАЙСКАЯ - ЧЕЛЯБИНСК;line;590;4705;1;4;75.3;4.520002;10;1;ol;FALSE
400013;ТРОИЦКАЯ ГРЭС - СОКОЛ-500;line;4799;576;1;4.92;50;1.9798882;10;1;ol;FALSE
400014;ИРИКЛИНСКАЯ ГРЭС - ЖИТИКАРА-500;line;4790;577;1;5.0500001907;57.9000015259;2.3045643464;10;1;ol;FALSE
400015;ЕСИЛЬ - СОКОЛ-500;line;180;576;1;8.8000001907;80;3.3995507465;10;1;ol;FALSE
400016;СОКОЛ-500 - ЖИТИКАРА-500;line;576;577;1;4.6999998093;53.5;2.1263108713;10;1;ol;FALSE
400017;КОСТАНАЙСКАЯ - СОКОЛ-500;line;590;576;1;1.2999999523;13.6000003815;0.5061129092;10;1;ol;FALSE
400018;Троицкая грэс - Приуральская;line;4798;595;1;4.8000001907;18.8999996185;0.3969325816;10;1;ol;FALSE
400019;Новотроицк - Орская;line;3103;3104;1;0.88;5.08;0.10408737;10;1;ol;TRUE
400020;Рысаево - Новотроицк;line;3102;3103;1;5.37;30.5;0.63662;10;1;ol;TRUE
400021;Ириклинская грэс - Орская;line;4791;3104;1;4.38;25.24;0.51661713;10;1;ol;TRUE
400022;Приуральская - Качары;line;595;582;1;7.8000001907;30.6000003815;0.6401214206;10;1;ol;FALSE
400023;Качары - Сокол-220;line;582;575;1;5.0999999046;19.6000003815;0.3819719904;10;1;ol;FALSE
400024;Сокол-220 - Заречная;line;575;596;1;8;35.5999984741;0.6990087558;10;1;ol;FALSE
400025;Кустанайская - Центральная;line;592;593;1;4.6999998093;20.8999996185;0.4099832984;10;1;ol;FALSE
400026;Кустанайская - Сокол-220;line;592;575;1;3.7999999523;17.1000003815;0.3351804346;10;1;ol;FALSE
400027;Сокол-220 - Лисаковка;line;575;574;1;3.9000000954;28;0.5825072888;10;1;ol;FALSE
400028;Лисаковка - Апановка;line;574;573;1;5.5100002289;21.2999992371;0.4456340119;10;1;ol;FALSE
400029;Апановка - Сокол-220;line;573;575;1;6.4000000954;24.6000003815;0.5124791114;10;1;ol;FALSE
400030;Апановка - Кушмурун;line;573;571;1;10.5;40.7000007629;0.8339721581;10;1;ol;TRUE
400031;Аман-карагай - Кушмурун;line;572;571;1;4.1199998856;16;0.3246761941;10;1;ol;TRUE
400032;Кушмурун - Челгаши;line;571;585;1;9.8500003815;38.0999984741;0.7925919136;10;1;ol;TRUE
400033;Есиль - Челгаши;line;170;585;1;6.5;25;0.4901973807;10;1;ol;TRUE
400034;Кемин - Бишкек;line;2952;2918;1;21.66;93.26;1.906390421;10;1;ol;FALSE
400035;Ириклинская грэс - Орская;line;4791;3104;1;4.38;25.24;0.51661713;10;2;ol;TRUE
400036;Ириклинская грэс - Новотроицк;line;4791;3103;1;5.57;32.05;0.65603691;10;1;ol;TRUE
400037;Ириклинская грэс - Новотроицк;line;4791;3103;1;2.11;22.57;0.9199159;10;2;ol;TRUE
400038;Ириклинская грэс - Рысаево;line;4791;3102;1;9.8;54.27;1.13923149;10;1;ol;TRUE
400039;ЛОЧИН - ДАТКА;line;2920;2950;1;2.69;26.82;1.06793005;10;1;ol;TRUE
400040;Сокол-220 - ссгпо;line;575;594;1;0.9399999976;3.7000000477;0.0776676408;10;1;ol;FALSE
400041;Сокол-220 - ссгпо;line;575;594;1;0.94;3.7;0.07766764;10;2;ol;FALSE
400042;ШАГОЛ    - ЮЖНОУРАЛЬСКАЯ ГРЭС-2;line;4782;47161;1;1.78;25.87;1.27801465;10;1;ol;FALSE
400043;Бурное - сэс бурное;line;802;810;1;4.37;17.43;0.350141;10;1;ol;FALSE
400044;ЭГРЭС-1-500 - ЭКИБАСТУЗСКАЯ;line;25;26;1;0.31;3.81;0.15310711;10;1;ol;FALSE
400045;ЭКИБАСТУЗСКАЯ - ЭГРЭС-2-500;line;26;28;1;0.81;11.75;0.33008747;10;1;ol;FALSE
400046;ЭКИБАСТУЗСКАЯ - КОКЧЕТАВСКАЯ;line;26;175;1;6.05;132.6999969482;6.9646228;10;1;ol;FALSE
400047;еэк-220 - азф;line;33;55;1;0.400000006;3;0.1187296308;10;1;ol;TRUE
400048;еэк-220 - азф;line;33;55;1;0.4;3;0.11872963;10;2;ol;TRUE
400049;еэк-220 - пс 51;line;33;251;1;6;64.3000030518;2.6005926771;10;1;ol;FALSE
400050;Калкаман - еэк-220;line;36;33;1;6.47;26.7;0.57582279;10;1;ol;FALSE
400051;нс-7 - нс-12;line;37;52;1;8.029999733;31.7000007629;0.6627214174;10;1;ol;TRUE
400052;Экибастуз-220 - црмз;line;38;54;1;2.38;9.83;0.21199446;10;1;ol;FALSE
400053;эгрэс-1 - эгрэс-2-220;line;39;29;1;2.4000000954;10.6000003815;0.2088113519;10;1;ol;FALSE
400054;эгрэс-1 - эгрэс-2-220;line;39;29;1;2.3;10.2;0.19958037;10;2;ol;FALSE
400055;эгрэс-1 - нс-7;line;39;37;1;8.1999998093;32.2999992371;0.676408759;10;1;ol;TRUE
400056;эгрэс-1 - Экибастуз-220;line;39;38;1;5.1999998093;20.2999992371;0.4249438433;10;1;ol;FALSE
400057;Уленты (т) - Бощак(T);line;58;59;1;4;17.5;0.3434564882;10;1;ol;FALSE
400058;Уленты (т) - Бощак(T);line;58;59;1;4.1999998093;18.5;0.3625550946;10;2;ol;FALSE
400059;ээпк - Калкаман;line;53;36;1;6.8000001907;27;0.564681932;10;1;ol;FALSE
400060;эгрэс-2-220 - Строительная-2;line;29;56;1;0.1299999952;0.6000000238;0.0117774699;10;1;ol;FALSE
400061;Таскудык(Т) - еэк-220;line;61;33;1;3.3800001144;14.8000001907;0.2898212616;10;1;ol;TRUE
400062;Строительная-2 - Таскудык(Т);line;56;61;1;9.8500003815;43.1399993896;0.8450493563;10;1;ol;FALSE
400063;Ерментау (т) - Уленты (т);line;166;58;1;4.5999999046;20.6000003815;0.4039354086;10;1;ol;FALSE
400064;КЭЗ-1.2 - ЕЭК-500;line;27;31;1;0.72;7.45;0.29666492;10;1;ol;FALSE
400065;КЭЗ-1.2 - ЕЭК-500;line;27;31;1;0.72;7.43;0.29570999;10;2;ol;FALSE
400066;ЭКИБАСТУЗСКАЯ - АЛТАЙ;line;26;1660;1;14.79;212.33;9.1227646;10;1;ol;FALSE
400067;РУБЦОВСКАЯ - УСТЬ-КАМЕНОГРСКАЯ-500;line;1621;240;1;4.34;44.02;1.7825360476;10;1;ol;FALSE
400068;Усть-Камногорская-220 - пс-14;line;241;214;1;5.19;20.42;0.4042537;10;1;ol;FALSE
400069;Усть-Камногорская-220 - пс-14;line;241;214;1;5.19;20.42;0.4042537;10;2;ol;FALSE
400070;ЧЕЛЯБИНСК - ЗЛАТОУСТ;line;4705;4715;1;2.65;35.2;1.4164795;10;1;ol;FALSE
400071;шгэс-220 - пс-14;line;220;214;1;2.07;21.23;0.8626201;10;1;ol;FALSE
400072;ШАГОЛ    - ЧЕЛЯБИНСК;line;4782;4705;1;1.5;19;0.732113;10;1;ol;FALSE
400073;СМЕЛОВСКАЯ - БЕКЕТОВО;line;50014;4709;1;8.8;81.8;2.960283;10;1;ol;FALSE
400074;пс 51 - Семей-220;line;251;981;1;3.89;40.67;1.4355781;10;1;ol;FALSE
400075;шгэс-220 - Семей-220;line;220;981;1;3.91;27.45;1.0281413;10;1;ol;FALSE
400076;Шоптыколь (т) - Осакаровка;line;101;306;1;5.71;25.01;0.48987909;10;1;ol;FALSE
400077;Шоптыколь (т) - Осакаровка;line;101;306;1;5.81;25.44;0.49847346;10;2;ol;FALSE
400078;нс 17 - нс-19;line;307;309;1;4.5999999046;18.2000007629;0.3501410027;10;1;ol;TRUE
400079;нс-19 - Осакаровка;line;309;306;1;5.8099999428;22.6000003815;0.4456340119;10;1;ol;FALSE
400080;НУРА-500 - АГАДЫРЬ-500;line;325;469;1;6.8600001335;79.4000015259;3.1862832754;10;1;ol;FALSE
400081;грэс-2 - отпайка-4;line;355;314;1;6.5;25.5;0.5061129092;10;1;ol;FALSE
400082;грэс-2 - отпайка-5;line;355;315;1;6.5;25.5;0.5061129092;10;1;ol;FALSE
400083;грэс-2 - Кара-мурун;line;355;450;1;4.4000000954;17.3999996185;0.3577804314;10;1;ol;TRUE
400084;грэс-2 - Жана-арка;line;355;453;1;15;60.2999992371;1.1681977018;10;1;ol;FALSE
400085;грэс-2 - Кайракты;line;355;457;1;15.6999998093;62.7999992371;1.2184906941;10;1;ol;FALSE
400086;Кара-мурун - Жарык;line;450;451;1;5.8299999237;23;0.4742818984;10;1;ol;TRUE
400087;Жарык - Айса;line;451;452;1;4.1700000763;16.4699993134;0.3393184498;10;1;ol;TRUE
400088;Айса - Aгадырь-220;line;452;468;1;3.6099998951;14.2600002289;0.2938001206;10;1;ol;FALSE
400089;жтэц - Никольская;line;462;461;1;4.76;10.04;0.8403384;10;1;ol;TRUE
400090;жтэц-220 - Жезказган-220;line;463;466;1;1.6799999475;7.0900001526;0.1448310527;10;1;ol;FALSE
400091;жтэц-220 - Жезказган-220;line;463;466;1;1.84;7.76;0.15820007;10;2;ol;FALSE
400092;Никольская - Барсенгир;line;464;454;1;10.8999996185;42.0999984741;0.8728059959;10;1;ol;FALSE
400093;Никольская - Жезказган-220;line;464;466;1;1.5800000429;6.6599998474;0.136523154;10;1;ol;FALSE
400094;Kаражал - Барсенгир;line;465;454;1;21.8999996185;84.8000030518;1.9152712166;10;1;ol;FALSE
400095;Kаражал - жтэц-220;line;465;463;1;26.8999996185;104.6999969482;2.2612742273;10;1;ol;FALSE
400096;Жезказган-220 - Кумколь;line;466;467;1;23.4500007629;98.9599990845;2.0228600747;10;1;ol;FALSE
400097;Жезказган-220 - Кумколь;line;466;467;1;22.98;96.97;1.98243468;10;2;ol;FALSE
400098;Aгадырь-220 - Kаражал;line;468;465;1;18.1000003815;70.4000015259;1.4355780996;10;1;ol;FALSE
400099;Aгадырь-220 - Балхашская-220;line;468;473;1;23.6700000763;99.6800003052;2.037502261;10;1;ol;FALSE
400100;Aгадырь-220 - Mоинты;line;468;475;1;12.8000001907;54.2000007629;1.1134483354;10;1;ol;FALSE
400101;АГАДЫРЬ-500 - ЮКГРЭС;line;469;900;1;11.5;118.4100036621;4.6064550908;10;1;ol;FALSE
400102;бтэц-110 - Балхашская-110;line;471;472;1;0.349999994;1.4800000191;0.1196845565;10;1;ol;FALSE
400103;Балхашская-220 - Акчтау;line;473;474;1;15.9;63.6;1.23217801;10;1;ol;FALSE
400104;Акчтау - Кайракты;line;474;457;1;8.96;36.1;0.72383694;10;1;ol;FALSE
400105;Mоинты - Каражингил;line;475;476;1;4.4099998474;18.6000003815;0.3924762077;10;1;ol;TRUE
400106;Каражингил - Сарышаган;line;476;477;1;8.3900003433;35.4000015259;0.7464369364;10;1;ol;TRUE
400107;ЖЕЗКАЗГАН-500 - АГАДЫРЬ-500;line;480;469;1;12.6000003815;123;4.8892417729;10;1;ol;FALSE
400108;ЮКГРЭС - АЛМАТЫ;line;900;902;1;9.3500003815;85;3.5809873458;10;1;ol;FALSE
400109;ЮКГРЭС - АЛМА;line;900;938;1;9.1999998093;98.1999969482;3.6541988328;10;1;ol;FALSE
400110;АЛМАТЫ - АЛМА;line;902;938;1;1.7999999523;19.5;0.724155252;10;1;ol;FALSE
400111;Алма - Бесагаш;line;939;940;1;4.1999998093;23.5;0.8336538457;10;1;ol;FALSE
400112;Алма - Бесагаш;line;939;940;1;4.1999998093;23.5;0.8336538457;10;2;ol;FALSE
400113;Алма - тэц-3 2сш;line;939;904;1;2.5999999046;11.1999998093;0.2202705297;10;1;ol;FALSE
400114;Алма - тэц-3 2сш;line;939;904;1;1.5;10.7;0.2260001;10;2;ol;FALSE
400115;юкгрэс - Мынарал;line;901;924;1;4.5999999046;20.5;0.4042537211;10;1;ol;TRUE
400116;Алматы - Робот;line;903;907;1;7.7100000381;30.4400005341;0.6366199839;10;1;ol;FALSE
400117;Алматы - Медео;line;903;928;1;7.0100002289;31.3099994659;0.6143382995;10;1;ol;FALSE
400118;Алматы - тэц-3 2сш;line;903;904;1;7;30.1499996185;0.6175213775;10;1;ol;FALSE
400119;Алматы - Главная;line;903;2916;1;19;82;1.6711274404;10;1;ol;FALSE
400120;Алма - Чилик;line;939;911;1;12;52.7000007629;1.0319610034;10;1;ol;FALSE
400121;Робот - пс-62 АТ2;line;907;908;1;0.1000000015;0.8999999762;0.0197352197;10;1;ol;FALSE
400122;Робот - пс-62 АТ2;line;907;908;1;0.3;1.2;0.02355494;10;2;ol;FALSE
400123;пс-62 АТ2 - Капчагайская гэс-220;line;908;909;1;0.8000000119;5.4200000763;0.1133183544;10;1;ol;FALSE
400124;пс-62 АТ2 - Капчагайская гэс-220;line;908;909;1;1.2;5.6;0.11045357;10;2;ol;FALSE
400125;Капчагайская гэс-220 - Сары-Озек;line;909;950;1;8;35.2999992371;0.6923242412;10;1;ol;FALSE
400126;Капчагайская гэс-220 - Сары-Озек;line;909;950;1;8;35.3;0.69200594;10;2;ol;FALSE
400127;Талдыкорган-220 - Талдыкорганская-220;line;988;951;1;4.29;18.79;0.36796636;10;1;ol;FALSE
400128;Талдыкорган-220 - Талдыкорганская-220;line;988;951;1;4.73;20.72;0.40584525;10;2;ol;FALSE
400129;пс-7 - Западная;line;912;918;1;5;20;0.4901973807;10;1;ol;FALSE
400130;Западная - Кемин;line;918;2952;1;9.27;40.58;0.794947394;10;1;ol;FALSE
400131;Чиганак - Кияхты;line;925;930;1;6.5279998779;29.1700000763;0.572512362;10;1;ol;TRUE
400132;тэц-3 2сш - Медео;line;904;928;1;0.3300000131;1.4900000095;0.0292845201;10;1;ol;FALSE
400133;Алматы - Таугуль;line;903;929;1;9.3000001907;33.7999992371;0.6423495612;10;1;ol;FALSE
400134;Алматы - Таугуль;line;903;929;1;9.3000001907;33.7999992371;0.6423495612;10;2;ol;FALSE
400135;Кияхты - Жидели;line;930;931;1;8.529999733;37.75;0.7416622963;10;1;ol;TRUE
400136;Жидели - Шу;line;931;932;1;7.9000000954;35.2000007629;0.6907326791;10;1;ol;TRUE
400137;Шу - Аспара;line;932;814;1;1.2999999523;6;0.1177747051;10;1;ol;FALSE
400138;Шу - Главная;line;932;2916;1;16.7999992371;72;1.4960569969;10;1;ol;FALSE
400139;ЖАМБЫЛ - ФРУНЗЕ;line;800;2919;1;6;69;2.581494117;10;1;ol;FALSE
400140;Жамбыл - сэс бурное;line;801;810;1;3.33;12.77;0.262096454;10;1;ol;FALSE
400141;Жамбыл - Каратау;line;801;803;1;7.6599998474;29.8799991608;0.6073354725;10;1;ol;FALSE
400142;Жамбыл - жгрэс-220;line;801;805;1;4.0999999046;16.2600002289;0.3205381789;10;1;ol;FALSE
400143;Жамбыл - Жамбыл Тяга;line;801;815;1;2.8800001144;11.4200000763;0.2253634822;10;1;ol;FALSE
