Name;etype;vn_kv;index;type;in_service;zone
CHernozubovka;bus;220;186;b;False;6
Novotroitsk;bus;220;3103;b;True;16
Orskaya;bus;220;3104;b;True;16
Ul'ke-220;bus;220;3020;b;True;33
Kimpersaj;bus;220;3005;b;True;33
Àktyube-220;bus;220;3006;b;True;33
Taldykorgan-220;bus;220;988;b;False;10
Kounrad-220;bus;220;481;b;False;4
TÀSHKENT;bus;500;2940;b;True;18
Kounrad-110;bus;110;482;b;True;4
NOVO-ÀNGRENSKÀYA TEHS;bus;500;2945;b;True;18
Karabalty;bus;220;2917;b;True;50
tehts-3;bus;220;383;b;False;3
TÀLDYKORGÀN-500;bus;500;987;b;False;10
Metallurgicheskaya;bus;220;384;b;False;3
Tashkentskaya grehs;bus;220;2926;b;True;18
CHilisaj;bus;220;3019;b;True;33
ipm;bus;220;318;b;True;3
SEMEJ-500;bus;500;980;b;False;19
otpajka-4;bus;220;314;b;False;3
Semej-220;bus;220;981;b;False;19
otpajka-5;bus;220;315;b;False;3
TYUMEN';bus;500;4730;b;False;35
BERKUT;bus;500;4728;b;False;35
IRIKLINSKÀYA GREHS;bus;500;4790;b;False;16
Troitskaya grehs;bus;220;4798;b;False;16
TROITSKÀYA GREHS;bus;500;4799;b;False;16
Esil';bus;220;170;b;False;5
ESIL';bus;500;180;b;False;5
KOKCHETÀVSKÀYA;bus;500;175;b;False;6
KOZYREVO;bus;500;4703;b;False;16
REFTINSKÀYA GREHS;bus;500;4702;b;False;16
YUZHNÀYA;bus;500;4701;b;False;16
Kushmurun;bus;220;571;b;True;8
Àman-karagaj;bus;220;572;b;True;8
Àpanovka;bus;220;573;b;False;8
Lisakovka;bus;220;574;b;False;8
Sokol-220;bus;220;575;b;False;8
SOKOL-500;bus;500;576;b;False;8
ZHITIKÀRÀ-500;bus;500;577;b;False;8
UL'KE-500;bus;500;9001;b;True;33
ZHitikara-110;bus;110;578;b;False;8
PRIVÀLOVSKÀYA;bus;500;50032;b;False;16
Àktogaj-220;bus;220;483;b;False;4
SHÀGOL;bus;500;4782;b;False;16
BEKETOVO;bus;500;4709;b;False;16
ZÀRYA;bus;500;1631;b;False;15
Kachary;bus;220;582;b;False;8
MÀGNITOGORSKÀYA;bus;500;4785;b;False;16
CHelgashi;bus;220;585;b;True;8
KOSTÀNÀJSKÀYA;bus;500;590;b;False;8
Kustanajskaya;bus;220;592;b;False;8
TSentral'naya;bus;220;593;b;False;8
ssgpo;bus;220;594;b;False;8
Priural'skaya;bus;220;595;b;False;8
ZLÀTOUST;bus;500;4715;b;False;16
KROPÀCHEVO;bus;500;4714;b;False;16
UFIMSKÀYA;bus;500;4712;b;False;16
Zarechnaya;bus;220;596;b;False;8
CHELYABINSK;bus;500;4705;b;False;16
ps 51;bus;220;251;b;False;19
EHGREHS-1-500;bus;500;25;b;False;2
EHKIBÀSTUZSKÀYA;bus;500;26;b;False;2
EHGREHS-2-500;bus;500;28;b;False;2
ehgrehs-2-220;bus;220;29;b;False;2
eehk-20-bl5-8;bus;20;30;b;False;2
EEHK-500;bus;500;31;b;False;2
eehk-20-bl2-4;bus;20;32;b;False;2
eehk-220;bus;220;33;b;False;2
Kalkaman;bus;220;36;b;False;2
ns-7;bus;220;37;b;True;2
EHkibastuz-220;bus;220;38;b;False;2
