index;name;etype;bus;p_mw;vm_pu;sn_mva;in_service;min_q_mvar;max_q_mvar
300001;Актюбе-220;gen;3006;276;1;None;True;22;112
300002;НОВО-АНГРЕНСКАЯ ТЭС;gen;2945;1778;1.11;None;True;-300;1200
300003;тэц-3;gen;383;602;1.16;None;False;-266;535
300004;Металлургическая;gen;384;353;1.15;None;False;-128;329
300005;Ташкентская грэс;gen;2926;123;1.99;None;True;-500;920
300006;Чилисай;gen;3019;186;1.12;None;True;8;74
300007;ТЮМЕНЬ  ;gen;4730;3760;1.13;None;False;-1000;1000
300008;ИРИКЛИНСКАЯ ГРЭС;gen;4790;474;1.11;None;False;-200;200
300009;ТРОИЦКАЯ ГРЭС;gen;4799;748;1.11;None;False;-500;500
300010;РЕФТИНСКАЯ ГРЭС;gen;4702;2850;1.12;None;False;-1000;1050
300011;ШАГОЛ   ;gen;4782;-1282.7562842038;1;None;False;0;0
300012;БЕКЕТОВО;gen;4709;0;1;None;False;0;0
300013;ЗАРЯ    ;gen;1631;2857;1.12;None;False;-1000;1000
300014;МАГНИТОГОРСКАЯ;gen;4785;500;1.11;None;False;-500;500
300015;ссгпо;gen;594;94;1.14;None;False;-58.5;112
300016;ЧЕЛЯБИНСК;gen;4705;411.5012767902;1.11;None;False;0;0
300017;еэк-20-бл5-8;gen;30;587;1;None;False;-113;387
300018;еэк-20-бл2-4;gen;32;916;1.97;None;False;-117;603
300019;еэк-220;gen;33;925;1.17;None;False;-33;967
300020;Экибастуз-220;gen;38;12;1.15;None;False;0;9
300021;эгрэс-1-бл2;gen;50;501;1;None;False;-189.8;350.2
300022;эгрэс-1-бл3-8;gen;51;1784;1.11;None;False;-567.3;1345.1
300023;эгрэс-2-20;gen;60;921;1.12;None;False;-343.7;661.6
300024;шгэс-14;gen;221;152;1.13;None;False;-210.1538461538;80.6153846154
300025;грэс-2;gen;355;508;1.15;None;False;-80;417
300026;Кумколь;gen;455;131;1.19;None;False;-5.5;61
300027;жтэц;gen;462;200;1.19;None;True;-13;147
300028;жтэц-220;gen;463;200;1.17;None;False;25;235
300029;бтэц-110;gen;471;120;1.1;None;False;20;90
300030;тэц-3 2сш;gen;904;169;1.16;None;False;20;160
300031;Робот;gen;907;1;1;None;False;0;0
300032;Капчагайская гэс-220;gen;909;89;1.19;None;False;0;112
300033;Капчагайская гэс-14;gen;910;89;1.14;None;True;0;112
300034;Мойнакская гэс-15-1;gen;937;146;1.12;None;True;-11144;87992
