Name;etype;bus;p_mw;q_mvar;in_service;index
Ul'ke-220;load;3020;172;39;True;200 001
Kimpersaj;load;3005;63;16;True;200 002
Аktyube-220;load;3006;256;110;True;200 003
NOVO-АNGRENSKАYA TEHS;load;2945;75;293;True;200 004
tehts-3;load;383;410;200;False;200 005
Metallurgicheskaya;load;384;440;250;False;200 006
CHilisaj;load;3019;157;17;True;200 007
ipm;load;318;210;70;True;200 008
TYUMEN';load;4730;5000;50;False;200 009
BERKUT;load;4728;298;10;False;200 010
Troitskaya grehs;load;4798;50;25;False;200 011
Esil';load;170;22;-7;False;200 012
REFTINSKАYA GREHS;load;4702;550;150;False;200 013
YUZHNАYA;load;4701;10;5;False;200 014
Kushmurun;load;571;7;1;True;200 015
Аman-karagaj;load;572;13;1;True;200 016
Аpanovka;load;573;33;4;False;200 017
Lisakovka;load;574;87;-1;False;200 018
Sokol-220;load;575;22;5;False;200 019
ZHitikara-110;load;578;23;20;False;200 020
PRIVАLOVSKАYA;load;50032;100;40;False;200 021
ZАRYA;load;1631;2500;200;False;200 022
Kachary;load;582;24;16;False;200 023
MАGNITOGORSKАYA;load;4785;614;400;False;200 024
CHelgashi;load;585;7;1;True;200 025
TSentral'naya;load;593;114;30;False;200 026
ssgpo;load;594;245;75;False;200 027
Priural'skaya;load;595;23;4;False;200 028
ZLАTOUST;load;4715;50;20;False;200 029
UFIMSKАYA;load;4712;150;80;False;200 030
Zarechnaya;load;596;27;3;False;200 031
ps 51;load;251;19;4;False;200 032
ehgrehs-2-220;load;29;7;-1;False;200 033
eehk-20-bl5-8;load;30;43;11;False;200 034
eehk-20-bl2-4;load;32;50;8;False;200 035
eehk-220;load;33;1149;514;False;200 036
Kalkaman;load;36;1;1;False;200 037
ns-7;load;37;1;1;True;200 038
EHkibastuz-220;load;38;123;14;False;200 039
ehgrehs-1;load;39;52;21;False;200 040
ehgrehs-1-bl2;load;50;20;22;False;200 041
ehgrehs-1-bl3-8;load;51;92;40;False;200 042
ns-12;load;52;1;1;True;200 043
ehehpk;load;53;1;1;False;200 044
tsrmz;load;54;13;6;False;200 045
azf;load;55;429;230;True;200 046
Stroitel'naya-2;load;56;7;2;False;200 047
Ulenty (t);load;58;9;3;False;200 048
Boshhak(T);load;59;8;3;False;200 049
ehgrehs-2-20;load;60;36;15;False;200 050
Taskudyk(T);load;61;4;3;False;200 051
ns 17;load;307;14;1;True;200 052
Ermentau (t);load;166;3;2;False;200 053
IRTYSHSKАYA;load;1850;174;11;False;200 054
KEHZ-1.2;load;27;430;131;False;200 055
ps-14;load;214;46;5;False;200 056
ps-18;load;218;146;16;False;200 057
shgehs-220;load;220;47;18;False;200 058
zhgok;load;222;19;-4;False;200 059
SHoptykol' (t);load;101;10;6;False;200 060
Batys;load;102;128;44;False;200 061
Dostyk;load;103;72;26;False;200 062
SHygys;load;104;0.4;0.2;False;200 063
Osakarovka;load;306;22;2;False;200 064
Caran';load;308;1;-11;False;200 065
ns-19;load;309;23;4;False;200 066
Nura-220;load;310;27;5;False;200 067
grehs-2;load;355;260;150;False;200 068
Kara-murun;load;450;5;1;True;200 069
ZHaryk;load;451;3;2;True;200 070
Аjsa;load;452;21;4;False;200 071
ZHana-arka;load;453;6;2;False;200 072
Barsengir;load;454;24;-16;False;200 073
Kumkol';load;455;144;54.6;False;200 074
Kajrakty;load;457;9;1;False;200 075
Nikol'skaya;load;461;53;39;True;200 076
zhtehts;load;462;213;62;True;200 077
zhtehts-220;load;463;213;62;False;200 078
Nikol'skaya;load;464;56;45;False;200 079
Karazhal;load;465;19;5;False;200 080
Agadyr'-220;load;468;17;2;False;200 081
АGАDYR'-500;load;469;10;0;False;200 082
btehts-110;load;471;111;58;False;200 083
Balkhashskaya-110;load;472;105;-33;False;200 084
Аkchtau;load;474;5;-7;False;200 085
Mointy;load;475;19;2;False;200 086
Karazhingil;load;476;6;1;True;200 087
Saryshagan;load;477;6;2;True;200 088
Mynaral;load;924;2;-3;True;200 089
Kiyakhty;load;930;6;3;True;200 090
yukgrehs;load;901;23;-2;False;200 091
Аlmaty;load;903;10;-7;False;200 092
tehts-3 2ssh;load;904;220;50;False;200 093
Robot;load;907;37;2;False;200 094
Besagash;load;940;55;-40;False;200 095
ps-62 АT2;load;908;18;14;False;200 096
CHilik;load;911;63;10;False;200 097
ps-7;load;913;490;278;False;200 098
Zapadnaya;load;918;63;14;False;200 099
CHiganak;load;925;24;3;False;200 100
Sary-Ozek;load;950;26;4;False;200 101
Taldykorganskaya-220;load;951;148;62;False;200 102
Glavnaya;load;2916;680;18;False;200 103
Medeo;load;928;10;1;False;200 104
Taugul';load;929;202;38;False;200 105
ZHideli;load;931;6;2;True;200 106
SHu;load;932;35;13;False;200 107
