index;name;etype;bus;q_mvar;p_mw;in_service
600001;Коунрад-220;shunt;481;95.6901524883;0;TRUE
600002;ТАЛДЫКОРГАН-500;shunt;987;163.6366899367;0;TRUE
600003;СЕМЕЙ-500;shunt;980;327.6422231466;0;TRUE
600004;ТЮМЕНЬ  ;shunt;4730;519.575775;0;TRUE
600005;БЕРКУТ  ;shunt;4728;170.3574527956;0;TRUE
600006;ИРИКЛИНСКАЯ ГРЭС;shunt;4790;167.852997;0;TRUE
600007;ЕСИЛЬ;shunt;180;485.6965918273;0;TRUE
600008;КОКЧЕТАВСКАЯ;shunt;175;648.4076384782;0;TRUE
600009;КОЗЫРЕВО;shunt;4703;164.4682452441;0;TRUE
600010;РЕФТИНСКАЯ ГРЭС;shunt;4702;169.8453;0;TRUE
600011;СОКОЛ-500;shunt;576;168.6761981735;0;TRUE
600012;ЖИТИКАРА-500;shunt;577;164.5454767874;0;TRUE
600013;УЛЬКЕ-500;shunt;9001;0;0;TRUE
600014;Житикара-110;shunt;578;79.5877495245;0;TRUE
600015;ШАГОЛ   ;shunt;4782;163.2500304008;0;TRUE
600016;ЗАРЯ    ;shunt;1631;168.515792;0;TRUE
600017;КОСТАНАЙСКАЯ;shunt;590;331.1279240602;0;TRUE
600018;УФИМСКАЯ;shunt;4712;169.7830253179;0;TRUE
600019;ЧЕЛЯБИНСК;shunt;4705;168.0239893447;0;TRUE
600020;ЭГРЭС-1-500;shunt;25;525.7726834566;0;TRUE
600021;ЭКИБАСТУЗСКАЯ;shunt;26;1034.2035769598;0;TRUE
600022;ЦГПП ;shunt;129;332.7996221366;0;TRUE
600023;РУБЦОВСКАЯ;shunt;1621;329.4872435981;0;TRUE
600024;ТАВРИЧЕСКАЯ;shunt;1817;174.9427943101;0;TRUE
600025;Кумколь;shunt;455;19.6644669257;0;TRUE
600026;Кайракты;shunt;457;0;0;TRUE
600027;АГАДЫРЬ-500;shunt;469;508.8331714934;0;TRUE
600028;Балхашская-110;shunt;472;0;0;TRUE
600029;Балхашская-220;shunt;473;0;0;TRUE
600030;ЖЕЗКАЗГАН-500;shunt;480;170.2955347899;0;TRUE
600031;ЮКГРЭС;shunt;900;504.634670006;0;TRUE
600032;ФРУНЗЕ;shunt;2919;171.5807141774;0;TRUE
600033;АЛМАТЫ;shunt;902;171.5480798227;0;TRUE
600034;АЛМА;shunt;938;171.849357;0;TRUE
600035;ЖАМБЫЛ;shunt;800;172.2409412548;0;TRUE
600036;Кызылординская;shunt;862;19.1340350447;0;TRUE
600037;Атбасар;shunt;134;43.0212226855;0;TRUE
600038;БАРНАУЛ-500;shunt;1630;333.06265;0;TRUE
600039;АВРОРА;shunt;147;339.8538602689;0;TRUE
600040;Макинск;shunt;150;42.5778081024;0;TRUE
600041;ТОКТОГУЛЬСКАЯ ГЭС;shunt;2921;177.932052;0;TRUE
600042;КУРГАН;shunt;4727;166.531325;0;TRUE
600043;ШУ;shunt;9932;334.7655772251;0;TRUE
600044;УЗБЕКИСТОН;shunt;2922;0;0;TRUE
600045;АКТОГАЙ;shunt;986;160.8552343102;0;TRUE
600046;АЛТАЙ;shunt;1660;651.8439;0;TRUE
600047;ЛОЧИН;shunt;2920;0;0;TRUE
600048;БАРАБИНСКАЯ;shunt;9917;174.539717;0;TRUE
600049;КУРЧАТОВСКАЯ;shunt;50002;169.8870027697;0;TRUE
600050;ИСЕТЬ;shunt;50001;165.1280323568;0;TRUE
600051;ЮЖНОУРАЛЬСКАЯ ГРЭС-2;shunt;47161;0;0;TRUE
600052;ВОСХОД;shunt;1853;344.1643894518;0;TRUE
600053;ВИТЯЗЬ;shunt;1852;334.4772620114;0;TRUE
600054;КЕМИН;shunt;2951;117.624;0;TRUE
600055;ДАТКА;shunt;2950;0;0;TRUE
