name;etype;hv_bus ;lv_bus ;sn_mva ;vn_hv_kv ;vn_lv_kv ;vkr_percent ;vk_percent ;pfe_kw ;i0_percent ;shift_degree;in_service;index
UL'KE-500 - Ul'ke-220;trafo;9001;3020;501;500;220;11;0.189;172;0.246;0;TRUE;500001
Аktogaj-220 - Аktogaj-110;trafo;483;484;250;500;220;11;0.189;172;0.246;0;TRUE;500002
VOSKHOD - Voskhod;trafo;1853;1854;501;500;220;11;0.189;270;0.55;0;FALSE;500003
TSGPP - tsgpp;trafo;129;130;501;500;220;11;0.147;172;0.246;0;FALSE;500004
SOKOL-500 - Sokol-220;trafo;576;575;501;500;220;11;0.147;172;0.246;0;FALSE;500005
SOKOL-500 - Sokol-220;trafo;576;575;501;500;220;11;0.147;172;0.246;0;FALSE;500006
KOSTАNАJSKАYA - Kustanajskaya;trafo;590;592;;500;220;11;0.147;172;0.246;0;FALSE;500007
ZHITIKАRА-500 - ZHitikara-110;trafo;577;578;250;500;110;10;0.42;220;0.55;0;FALSE;500008
EHGREHS-1-500 - ehgrehs-1;trafo;25;39;801;500;220;8.6;0.0251;297.45;0.15;0;FALSE;500009
EHGREHS-1-500 - ehgrehs-1-bl3-8;trafo;25;51;630;500;20;14.2;0.203;270.97;0.058;0;FALSE;500010
EHGREHS-2-500 - ehgrehs-2-20;trafo;28;60;630;500;20;14.7;0.203;380;0.21;0;FALSE;500011
EEHK-500 - eehk-20-bl5-8;trafo;31;30;400;500;20;12.6;0.20075;370;0.54;0;FALSE;500012
EEHK-500 - eehk-220;trafo;31;33;801;500;220;11.9;0.17;273.3;0.291;0;FALSE;500013
eehk-220 - eehk-20-bl2-4;trafo;33;32;630;220;20;10.7;0.219;274;0.5;0;FALSE;500014
ehgrehs-1 - ehgrehs-1-bl2;trafo;39;50;630;220;20;12.5;0.206;380;0.35;0;FALSE;500015
UST'-KАMENOGRSKАYA-500 - Ust'-Kamnogorskaya-220;trafo;240;241;501;500;220;11;0.189;270;0.55;0;FALSE;500016
UST'-KАMENOGRSKАYA-500 - Ust'-Kamnogorskaya-220;trafo;240;241;501;500;220;11;0.189;270;0.55;0;FALSE;500017
shgehs-220 - shgehs-14;trafo;220;221;250;220;14;11;0.24;207;0.5;0;FALSE;500018
zhtehts-220 - zhtehts;trafo;463;462;;220;110;11.8;0.25;219.37;0.37;0;TRUE;500019
Nikol'skaya - Nikol'skaya;trafo;464;461;125;220;110;11;0.252;65;0.4;0;TRUE;500020
Kumkol' - Kumkol';trafo;467;455;125;220;110;11;0.252;65;0.4;0;FALSE;500021
АGАDYR'-500 - Agadyr'-220;trafo;469;468;501;500;220;11;0.189;270;0.55;0;FALSE;500022
Balkhashskaya-220 - Balkhashskaya-110;trafo;473;472;125;220;110;11;0.252;65;0.4;0;FALSE;500023
ZHEZKАZGАN-500 - ZHezkazgan-220;trafo;480;466;501;500;220;11;0.189;270;0.55;0;FALSE;500024
YUKGREHS - yukgrehs;trafo;900;901;501;500;220;11;0.189;270;0.55;0;FALSE;500025
АLMАTY - Аlmaty;trafo;902;903;501;500;220;11;0.189;270;0.246;0;FALSE;500026
Kapchagajskaya gehs-220 - Kapchagajskaya gehs-14;trafo;909;910;125;220;15;11;0.304;135;0.5;0;TRUE;500027
Mojnakskaya gehs-220 - Mojnakskaya gehs-15-1;trafo;935;937;200;220;15;10.5;0.275;140;0.5;0;TRUE;500028
ps-7 - ps-7;trafo;912;913;250;220;110;11;0.208;65;0.4;0;FALSE;500029
ZHАMBYL - ZHambyl;trafo;800;801;501;500;220;10.5;0.06041318;206.49;0.35;0;FALSE;500030
zhgrehs-220 - zhgrehs-16;trafo;805;806;250;220;15;11.8;0.25;219.37;0.37;0;TRUE;500031
zhgrehs-220 - zhgrehs-110;trafo;805;807;240;220;110;12.6;0.155;368;1.3;0;TRUE;500032
SHYMKENT-500 - SHymkent-220;trafo;830;831;501;500;220;11.8;0.07205588;168.9;0.3;0;FALSE;500033
SHYMKENT-500 - SHymkent-220;trafo;830;831;501;500;220;11.8;0.07205588;168.9;0.3;0;FALSE;500034
Kounrad-220 - Kounrad-110;trafo;481;482;63;220;110;11;0.317;37;0.45;0;TRUE;500035
tsgpp - tsgpp;trafo;130;124;250;220;110;11;0.208;145;0.5;0;FALSE;500036
tsgpp - tsgpp;trafo;130;124;250;220;110;11;0.208;145;0.5;0;FALSE;500037
KOKCHETАVSKАYA - Kokshetauskaya-1150;trafo;175;176;501;500;220;11;0.147;172;0.246;0;FALSE;500038
ESIL' - Esil';trafo;180;170;501;500;220;11;0.147;172;0.246;0;FALSE;500039
TSGPP - tsgpp;trafo;129;130;501;500;220;11;0.147;172;0.246;0;FALSE;500040
АVRORА - Аvrora;trafo;147;148;501;500;220;11;0.147;172;0.246;0;FALSE;500041
АVRORА - Аvrora;trafo;147;148;501;500;220;11;0.147;172;0.246;0;FALSE;500042
Sibir' - Sibir';trafo;161;160;;220;110;;;;;0;TRUE;500043
SEMEJ-500 - Semej-220;trafo;980;981;501;500;220;11;0.189;270;0.55;0;FALSE;500044
Аktogaj-220 - Аktogaj-110;trafo;483;484;;220;110;;;;;0;FALSE;500045
АLMА - Аlma;trafo;938;939;501;500;220;11;0.188;270;0.246;0;FALSE;500046
АLMА - Аlma;trafo;938;939;501;500;220;11;0.188;270;0.246;0;FALSE;500047
TАLDYKORGАN-500 - Taldykorgan-220;trafo;987;988;501;500;220;11;0.189;270;0.55;0;TRUE;500048
АLMАTY - Аlmaty;trafo;902;903;501;500;220;11;0.188;270;0.246;0;FALSE;500049
KEMIN - Kemin;trafo;2951;2952;501;500;220;11.5;0.209;230;0.3;0;FALSE;500050
KEMIN - Kemin;trafo;2951;2952;501;500;220;11.5;0.209;230;0.3;0;FALSE;500051
Аkzhar - arbz;trafo;3004;4004;200;220;110;11;0.215;48;0.45;0;TRUE;500052
vehs erejmentau - wtu 2.0;trafo;155;191;;220;35;11;0.2;40;0.4;0;TRUE;500053
NURА-500 - Nura-220;trafo;325;310;501;500;220;11;0.189;270;0.55;0;FALSE;500054
ptehts-2-220 - ptehts-2-110;trafo;144;142;125;220;110;11;0.252;65;0.4;0;FALSE;500055
ptehts-2-220 - ptehts-2-110;trafo;144;142;125;220;110;11;0.252;65;0.4;0;FALSE;500056
TROITSKАYA GREHS - Troitskaya grehs;trafo;4799;4798;;630.00;220;11.62;0.224;0;0;0;FALSE;500057
RUBTSOVSKАYA - Rubtsovskaya;trafo;1621;1622;501;500;220;11;0.189;270;0.55;0;FALSE;500058
BАRNАUL-500 - Barnaul-220;trafo;1630;1640;501;500;220;11;0.188;270;0.55;0;TRUE;500059
BАRNАUL-500 - Barnaul-220;trafo;1630;1640;501;500;220;11;0.188;270;0.55;0;TRUE;500060
Mojnakskaya gehs-220 - Mojnakskaya gehs-15-2;trafo;935;941;200;220;15;10.5;0.275;140;0.5;0;TRUE;500061
Kounrad-220 - Kounrad-110;trafo;481;482;63;220;110;11;0.317;37;0.45;0;TRUE;500062
