index;name;etype;bus;p_mw;q_mvar;in_service
200001;Ульке-220;load;3020;172;39;True
200002;Кимперсай;load;3005;63;16;True
200003;Актюбе-220;load;3006;256;110;True
200004;НОВО-АНГРЕНСКАЯ ТЭС;load;2945;75;293;True
200005;тэц-3;load;383;410;200;False
200006;Металлургическая;load;384;440;250;False
200007;Чилисай;load;3019;157;17;True
200008;ипм;load;318;210;70;True
200009;ТЮМЕНЬ  ;load;4730;5000;50;False
200010;БЕРКУТ  ;load;4728;298;10;False
200011;Троицкая грэс;load;4798;50;25;False
200012;Есиль;load;170;22;-7;False
200013;РЕФТИНСКАЯ ГРЭС;load;4702;550;150;False
200014;ЮЖНАЯ   ;load;4701;10;5;False
200015;Кушмурун;load;571;7;1;True
200016;Аман-карагай;load;572;13;1;True
200017;Апановка;load;573;33;4;False
200018;Лисаковка;load;574;87;-1;False
200019;Сокол-220;load;575;22;5;False
200020;Житикара-110;load;578;23;20;False
200021;ПРИВАЛОВСКАЯ;load;50032;100;40;False
200022;ЗАРЯ    ;load;1631;2500;200;False
200023;Качары;load;582;24;16;False
200024;МАГНИТОГОРСКАЯ;load;4785;614;400;False
200025;Челгаши;load;585;7;1;True
200026;Центральная;load;593;114;30;False
200027;ссгпо;load;594;245;75;False
200028;Приуральская;load;595;23;4;False
200029;ЗЛАТОУСТ;load;4715;50;20;False
200030;УФИМСКАЯ;load;4712;150;80;False
200031;Заречная;load;596;27;3;False
200032;пс 51;load;251;19;4;False
200033;эгрэс-2-220;load;29;7;-1;False
200034;еэк-20-бл5-8;load;30;43;11;False
200035;еэк-20-бл2-4;load;32;50;8;False
200036;еэк-220;load;33;1149;514;False
200037;Калкаман;load;36;1;1;False
200038;нс-7;load;37;1;1;True
200039;Экибастуз-220;load;38;123;14;False
200040;эгрэс-1;load;39;52;21;False
200041;эгрэс-1-бл2;load;50;20;22;False
200042;эгрэс-1-бл3-8;load;51;92;40;False
200043;нс-12;load;52;1;1;True
200044;ээпк;load;53;1;1;False
200045;црмз;load;54;13;6;False
200046;азф;load;55;429;230;True
200047;Строительная-2;load;56;7;2;False
200048;Уленты (т);load;58;9;3;False
200049;Бощак(T);load;59;8;3;False
200050;эгрэс-2-20;load;60;36;15;False
200051;Таскудык(Т);load;61;4;3;False
200052;нс 17;load;307;14;1;True
200053;Ерментау (т);load;166;3;2;False
200054;ИРТЫШСКАЯ;load;1850;174;11;False
200055;КЭЗ-1.2;load;27;430;131;False
200056;пс-14;load;214;46;5;False
200057;пс-18;load;218;146;16;False
200058;шгэс-220;load;220;47;18;False
200059;жгок;load;222;19;-4;False
200060;Шоптыколь (т);load;101;10;6;False
200061;Батыс;load;102;128;44;False
200062;Достык;load;103;72;26;False
200063;Шыгыс;load;104;0.4;0.2;False
200064;Осакаровка;load;306;22;2;False
200065;Cарань;load;308;1;-11;False
200066;нс-19;load;309;23;4;False
200067;Нура-220;load;310;27;5;False
200068;грэс-2;load;355;260;150;False
200069;Кара-мурун;load;450;5;1;True
200070;Жарык;load;451;3;2;True
200071;Айса;load;452;21;4;False
200072;Жана-арка;load;453;6;2;False
200073;Барсенгир;load;454;24;-16;False
