name;index;v_kv;degU;countG;Pg;Qg;Pl;Ql
ПС 220 кВ Чернозубовка - СШ 220 кВ;186;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Талдыкорган - СШ 220 кВ ;988;238.93;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Коунрад - СШ 220 кВ ;481;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Коунрад - СШ 110 кВ ;482;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Карагандинская ТЭЦ-3 - СШ 220 кВ;383;227.92;-0.01;-0.01;543.92;-0.01;-0.01;-0.01
ПС 500 кВ Талдыкорган - СШ 500 кВ ;987;511.44;-0.01;-0.01;-0.01;-117.22;-0.01;-0.01
ПС 220 кВ Металлургическая - СШ 220 кВ;384;227.26;-0.01;-0.01;393.06;-0.01;-0.01;-0.01
ПС 500 кВ Семей - СШ 500 кВ ;980;510.31;-0.01;-0.01;-0.01;-110.39;-0.01;-0.01
отпайка Л-2278;314;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Семей - СШ 220 кВ ;981;226.45;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
отпайка Л-2288;315;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Тюмень - СШ 500 кВ;4730 ;516.22;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Беркут - СШ 500 кВ;4728 ;517.8;-0.01;-0.01;-0.01;-0.01;-322;-86.4
Ириклинская ГРЭС - СШ 500 кВ;4790 ;519.73;-0.01;-0.01;513.1;47.50;-0.01;-0.01
Троицкая ГРЭС - СШ 220 кВ ;4798 ;232.31;-0.01;-0.01;32.92 ;26.71;-0.01;-0.01
Троицкая ГРЭС - СШ 500 кВ ;4799 ;505.2;-0.01;-0.01;0 ;0;-0.01;-0.01
ПС 500 кВ ЕГПП - СШ 220 кВ;170;229.37;-0.01;-0.01;-0.01;-0.01;17.21;-2.83 
ПС 500 кВ ЕГПП - СШ 500 кВ;180;497.6;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 1150 кВ Кокшетауская - СШ 500 кВ ;175;508.56;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Козырево - СШ 500 кВ;4703 ;507.1;-0.01;-0.01;-0.01;-0.01;276.20 ;161.1
Рефтинская ГРЭС - СШ 500 кВ ;4702 ;518.14;-0.01;-0.01;!2114.1;291.01 ;-0.01;-0.01
ПС 500 кВ Южная - СШ 500 кВ ;4701 ;508.03;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Апановка (т) - СШ 220 кВ;573;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Лисаковская - СШ 220 кВ ;574;0.40;-0.01;-0.01;-0.01;-0.01;74.53;13.83 
ПС 500 кВ Сокол - СШ 220 кВ ;575;229.88;-0.01;-0.01;-0.01;-0.01;5.92 ;1.91
ПС 500 кВ Сокол - СШ 500 кВ ;576;513.36;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Житикара - СШ 500 кВ;577;514.96;-0.01;-0.01;-0.01;-0.01;207.25 ;45.88 
ПС 500 кВ Житикара - СШ 110 кВ;578;112.34;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Приваловская - СШ 500 кВ;10004;509.39;-0.01;-0.01;-0.01;-0.01;71.88;28.12 
ПС 500 кВ Шагол - СШ 500 кВ ;4782 ;505.88;-0.01;-0.01;-0.01;-0.01;-91.04 ;311.26
ПС 500 кВ Бекетово - СШ 500 кВ;4709 ;510.56;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Заря - СШ 500 кВ;1631 ;515.57;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Качары - СШ 220 кВ;582;231.28;-0.01;-0.01;-0.01;-0.01;27.50;-0.70 
ПС 500 кВ Магнитогорская - СШ 500 кВ;4785 ;502.18;-0.01;-0.01;-0.01;-0.01;349.30 ;306.59
ПС 1150 кВ Костанайская - СШ 500 кВ ;590;509.93;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 1150 кВ Костанайская - СШ 220 кВ ;592;231.99;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Центральная - СШ 220 кВ ;593;228.77;-0.01;-0.01;-0.01;-0.01;107.03 ;43.44 
ПС 220 кВ Сарбайская - СШ 220 кВ;594;227.97;-0.01;-0.01;149;115.01;-0.01;-0.01
ПС 220 кВ Приуральская - СШ 220 кВ;595;230.48;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Златоуст - СШ 500 кВ;4715 ;510.66;-0.01;-0.01;-0.01;-0.01;219.30 ;141.53
ПС 500 кВ Кропачево - СШ 500 кВ ;4714 ;510.18;-0.01;-0.01;-0.01;-0.01;112.41 ;59.63 
ПС 500 кВ Уфимская - СШ 500 кВ;4712 ;503.79;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Заречная - СШ 220 кВ;596;229.88;-0.01;-0.01;-0.01;-0.01;20.50;-0.01
ПС 1150 кВ Челябинская - СШ 500 кВ;4705 ;508.77;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ ПС-51 - СШ 220 кВ ;251;229.01;-0.01;-0.01;-0.01;-0.01;10.42;-19.88
ЭГРЭС-1 - СШ 500 кВ ;25 ;514.1;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 1150 кВ Экибастузская - СШ 500 кВ;26 ;513.13;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ЭГРЭС-2 - СШ 500 кВ ;28 ;514.71;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ЭГРЭС-2 - СШ 220 кВ ;29 ;228.8;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ЕЭК Блоки 5.6.7.8 ;30 ;-0.01;-0.01;-0.01;700.74;273.91 ;-0.01;-0.01
ЕЭК - СШ 500 кВ ;31 ;513.47;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ЕЭК Блоки 2.3.4 ;32 ;-0.01;-0.01;-0.01;765.58;236.54 ;-0.01;-0.01
ЕЭК - СШ 220 кВ ;33 ;231.67;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Калкаман - СШ 220 кВ;36 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Экибастузская - СШ 220 кВ ;38 ;227.36;-0.01;-0.01;-0.01;-0.01;101.36 ;-1.85 
ЭГРЭС-1 - СШ 220 кВ ;39 ;230.15;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ЭГРЭС-1 Блок 2;50 ;-0.01;-0.01;-0.01;496.8;79.49;-0.01;-0.01
ЭГРЭС-1 Блоки 3.4.5.6.7.8 ;51 ;-0.01;-0.01;-0.01;2440.2;267.38 ;-0.01;-0.01
ПС 220 кВ ЭПК - СШ 220 кВ ;53 ;228.37;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ ЦРМЗ - СШ 220 кВ;54 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Строительная -2 - СШ 220 кВ ;56 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Уленты (т) - СШ 220 кВ;58 ;220;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Бозщаколь (т) - СШ 220 кВ ;59 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ЭГРЭС-2 Блоки 1.2 ;60 ;-0.01;-0.01;-0.01;940.69;86.43;-0.01;-0.01
ПС 220 кВ Таскудык (т) - СШ 220 кВ;61 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Нура - СШ 500 кВ;325;509.93;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ ЦГПП - СШ 500 кВ;129;509.02;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Ерментау (т) - СШ 220 кВ;166;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Рубцовская - СШ 500 кВ;1621 ;512.52;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Таврическая - СШ 500 кВ ;1817 ;512.81;-0.01;-0.01;-0.01;-137.83;-0.01;-0.01
ПС 500 кВ Иртышская - СШ 500 кВ ;1850 ;516.48;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ КЭЗ - СШ 500 кВ ;27 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ ПС-14 - СШ 220 кВ ;214;232.09;-0.01;-0.01;-0.01;-0.01;46.82;14.32 
ПС 220 кВ ПС-18 - СШ 220 кВ ;218;225.76;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Шульбинская ГЭС - СШ 220 кВ ;220;232.06;-0.01;-0.01;-0.01;-0.01;68.69;-4.27 
ПС 500 кВ Усть-каменогорская - СШ 500 кВ;240;504.73;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Усть-Каменогорская - СШ 220 кВ;241;232.39;-0.01;-0.01;1039.1;-0.01;-0.01;-0.01
Шульбинская ГЭС - СШ 13.8 кВ;221;-0.01;-0.01;-0.01;127.2;99.89;-0.01;-0.01
ПС 220 кВ Шоптыколь (т) - СШ 220 кВ ;101;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Батыс - СШ 220 кВ ;102;236.13;-0.01;-0.01;-0.01;-0.01;148.70 ;35.25 
ПС 220 кВ Достык - СШ 220 кВ;103;236;-0.01;-0.01;-0.01;-0.01;-0 ;1110.4
ПС 220 кВ Шыгыс - СШ 220 кВ ;104;236.6;-0.01;-0.01;-0.01;-0.01;2.00 ;0.80
ПС 220 кВ Осакаровка - СШ 220 кВ;306;233.69;-0.01;-0.01;-0.01;-0.01;5.38 ;15.23 
ПС 220 кВ Cарань - СШ 220 кВ;308;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ НС-19 - СШ 220 кВ ;309;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Нура - СШ 220 кВ;310;231.18;-0.01;-0.01;-0.01;-0.01;15.31;-2.78 
ГРЭС-2 Топар - СШ 220 кВ;355;227.06;-0.01;-0.01;413.3;1.46 ;-0.01;-0.01
ПС 220 кВ Айса (т) - СШ 220 кВ;452;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Жана-арка - СШ 220 кВ ;453;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Барсенгир - СШ 220 кВ ;454;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Кумколь СШ 110кВ;455;116.1;-0.01;-0.01;144.69;25.78;-0.01;-0.01
ПС 220 кВ Кайракты - СШ 220 кВ;457;235.1;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Жезказган ТЭЦ - СШ 220 кВ ;463;231.09;-0.01;-0.01;211.89;-0.01;-0.01;-0.01
ПС 220 кВ Никольская - СШ 220 кВ;464;235.1;-0.01;-0.01;-0.01;-0.01;76.33;50.30 
ПС 220 кВ Kаражал - СШ 220 кВ ;465;223;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Жезказган - СШ 220 кВ ;466;235.6;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Кумколь - СШ 220 кВ ;467;232.89;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Агадырь - СШ 220 кВ ;468;231.99;-0.01;-0.01;-0.01;-0.01;17.17;-93.87
ПС 500 кВ Агадырь - СШ 500 кВ ;469;517.01;-0.01;-0.01;-0.01;-108.4;-0.01;-0.01
Балхашская ТЭЦ СШ 110кВ ;471;121.41;-0.01;-0.01;148.54;-0.01;-0.01;-0.01
ПС 220 кВ Балхашская СШ 110кВ ;472;120.07;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Балхашская - СШ 220 кВ;473;236.81;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Акчатау - СШ 220 кВ ;474;237.71;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Mоинты (т) - СШ 220 кВ;475;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Жезказган - СШ 500 кВ ;480;512.44;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ ЮКГРЭС - СШ 500 кВ;900;522.49;-0.01;-0.01;-0.01;-163.9;-0.01;-0.01
ПС 500 кВ Фрунзе - СШ 500 кВ;2919 ;510;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ ЮКГРЭС - СШ 220 кВ;901;239.22;-0.01;-0.01;-0.01;-0.01;*24.75 ;*1.11 
ПС 500 кВ Алматы - СШ 500 кВ;902;514.96;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Алма - СШ 500 кВ;938;521.1;-0.01;-0.01;-0.01;-72.11 ;-0.01;-0.01
ПС 500 кВ Алматы - СШ 220 кВ;903;237.71;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Алма - СШ 220 кВ;939;232.9;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Алматинская ТЭЦ-3 - СШ 220 кВ ;904;233.63;-0.01;-0.01;139;50.93;-0.01;-0.01
ПС 220 кВ Робот - СШ 220 кВ ;907;233.48;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Бесагаш - СШ 220 кВ ;940;237.5;-0.01;-0.01;-0.01;-0.01;140.02 ;44.55 
ПС 220 кВ ПС-62А - СШ 220 кВ;908;-0.01;-0.01;-0.01;-0.01;-0.01;60.70;-0.01
Капшагайская ГЭС - СШ 220 кВ;909;237.39;-0.01;-0.01;50.19 ;-0.67;-0.01;-0.01
ПС 220 кВ Шелек - СШ 220 кВ ;911;231.7;-0.01;-0.01;-0.01;-0.01;70.70;-0.01
ПС 220 кВ ПС-7А (Алм) - СШ 220 кВ ;912;226.7;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ ПС-7А (Алм) - СШ 110 кВ ;913;117.4;-0.01;-0.01;442.23;136.12 ;-0.01;-0.01
ПС 220 кВ Западная - СШ 220 кВ;918;226.25;-0.01;-0.01;-0.01;-0.01;55.85;0 
ПС 220 кВ Шыганак (т) - СШ 220 кВ ;925;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Сары-озек - СШ 220 кВ ;950;237.08;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Талдыкорганская - СШ 220 кВ ;951;235.91;-0.01;-0.01;-0.01;-0.01;100.26 ;31.90 
ПС 220 кВ Главная - СШ 220 кВ ;2916 ;-0.01;-0.01;-0.01;!385.20;-0.01;-0.01;-0.01
ПС 220 кВ Медеу (т) - СШ 220 кВ ;928;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Таугуль - СШ 220 кВ ;929;235.8;-0.01;-0.01;-0.01;-0.01;144.50 ;-0.01
ПС 500 кВ Шу - СШ 220 кВ;932;235.5;-0.01;-0.01;-0.01;-0.01;35.43;-12.2
ПС 220 кВ Аспара (т) - СШ 220 кВ;814;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Жамбыл - СШ 500 кВ;800;513.36;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Жамбыл - СШ 220 кВ;801;235.4;-0.01;-0.01;-0.01;-0.01;221.71 ;101.11
ПС 220 кВ Бурное - СШ 220 кВ;802;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Каратау - СШ 220 кВ ;803;235.3;-0.01;-0.01;-0.01;-0.01;9.67 ;0.72
ПС 220 кВ Опорная - СШ 220 кВ ;804;232.39;-0.01;-0.01;-0.01;-0.01;20.42;11.48 
Жамбылская ГРЭС - СШ 220 кВ ;805;237.89;-0.01;-0.01;358.21;-0.01;-0.01;-0.01
ПС 220 кВ Мерке - СШ 220 кВ ;809;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Жамбыл-тяга (т) - СШ 220 кВ ;815;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Шымкент - СШ 500 кВ ;830;493.49;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Шымкент - СШ 220 кВ ;831;235.91;-0.01;-0.01;-0.01;34.23;18.45;-41.77
ПС 220 кВ Сас-тюбе - СШ 220 кВ;834;235.91;-0.01;-0.01;-0.01;-0.01;-0.12;1.97
ПС 220 кВ Ванновка - СШ 220 кВ;835;236.91;-0.01;-0.01;-0.01;-0.01;11.95;6.78
ПС 220 кВ Жылга (т) - СШ 220 кВ ;839;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Кентау - СШ 220 кВ;840;228.47;-0.01;-0.01;-0.01;-0.01;48.85;49.28 
ПС 220 кВ Шолак-корган - СШ 220 кВ;841;231.48;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Шымкентская - СШ 220 кВ ;843;228.97;-0.01;-0.01;-0.01;-0.01;200.07 ;97.16 
ПС 220 кВ Кызылсай (т) - СШ 220 кВ;845;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ ГНПС - СШ 220 кВ;846;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Кызылординская ТЭЦ - СШ 220 кВ;860;227.92;-0.01;-0.01;59.39 ;-0.01;-0.01;-0.01
отпайка Л-2019;861;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Кызылординская - СШ 220 кВ;862;229.78;-0.01;-0.01;-0.01;-0.01;28.07;14.99 
ПС 220 кВ Шиели - СШ 220 кВ ;863;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Жанакорган - СШ 220 кВ;865;229.71;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Фрунзе - СШ 220 кВ;2918 ;0 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Ташкентская ГРЭС - СШ 500 кВ;2924 ;!486.00;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Ташкентская ГРЭС - СШ 220 кВ;2925 ;217.8;-0.01;-0.01;640;270.00 ;-0.01;-0.01
ПС 220 кВ ГПП-2 - СШ 220 кВ ;5957 ;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Таврическая - СШ 220 кВ ;1816 ;239.45;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Иртышская - СШ 220 кВ ;1851 ;231.82;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Миргалимсай - СШ 220 кВ ;842;225.61;-0.01;-0.01;-0.01;-0.01;18.20;33.66 
ПС 220 кВ Еркеншилик (т) - СШ 220 кВ;167;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Жолымбет - СШ 220 кВ;123;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ ЦГПП - СШ 110 кВ;124;118.82;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Танкерис (т) - СШ 220 кВ;179;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Бурабай (т) - СШ 220 кВ ;126;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ ЦГПП - СШ 220 кВ;130;237.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Жалтыр (т) - СШ 220 кВ;132;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Атбасар - СШ 220 кВ ;134;233.9;-0.01;-0.01;-0.01;-0.01;37.81;38.85 
ПС 220 кВ КГПП - СШ 220 кВ;135;232.19;-0.01;-0.01;-0.01;-0.01;146.53 ;2.27
ПС 220 кВ Красноармейская - СШ 220 кВ ;159;231.89;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Киялы - СШ 220 кВ ;136;-0.01;-0.01;-0.01;-0.01;-0.01;5.27 ;-0.01
ПС 500 кВ Барнаул - СШ 500 кВ ;1630 ;515.02;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 220 кВ Смирново - СШ 220 кВ;143;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
Петропавловская ТЭЦ-2 - СШ 220 кВ ;144;234.2;-0.01;-0.01;326.24;59.15;-0.01;-0.01
ПС 500 кВ Аврора - СШ 500 кВ;147;506.51;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
ПС 500 кВ Аврора - СШ 220 кВ;148;232.79;-0.01;-0.01;-0.01;-0.01;-9.22;-44.38
ПС 220 кВ Макинск - СШ 220 кВ ;150;232.99;-0.01;-0.01;-0.01;-0.01;35.77;8.20
ПС 220 кВ Степная - СШ 220 кВ ;151;230;-0.01;-0.01;59.00 ;18.00;-0.01;-0.01
